weekday,hour,load
0,0,65.50013333333334
0,1,65.46839491525425
0,2,65.4324
0,3,65.42416666666666
0,4,66.47666666666666
0,5,66.3651
0,6,65.67086666666667
0,7,69.3857
0,8,74.65363333333332
0,9,74.90799999999999
0,10,75.66656666666667
0,11,76.07876666666667
0,12,77.31003333333334
0,13,74.81816666666667
0,14,74.53659999999999
0,15,75.39266666666667
0,16,77.05539999999999
0,17,75.07576666666667
0,18,71.49146101694916
0,19,73.0602
0,20,72.25156666666666
0,21,71.10546666666667
0,22,71.2742
0,23,70.62477344632768
1,0,69.6471
1,1,68.98833333333333
1,2,67.37206666666665
1,3,67.27919999999999
1,4,66.0282
1,5,67.10633333333332
1,6,70.05336666666668
1,7,75.36116666666666
1,8,80.09159435028248
1,9,81.90513333333334
1,10,82.0382
1,11,80.44793333333334
1,12,83.39926666666666
1,13,84.6889
1,14,85.10286666666666
1,15,86.32546666666667
1,16,83.7506
1,17,80.16916666666667
1,18,74.96596666666666
1,19,74.2364
1,20,73.33803333333333
1,21,72.61616666666666
1,22,71.29933333333334
1,23,70.70750000000001
2,0,69.01086111111111
2,1,69.68394444444445
2,2,69.41336111111112
2,3,67.74072222222222
2,4,67.70322222222222
2,5,69.61111111111111
2,6,68.59008333333333
2,7,77.22871280602637
2,8,87.3058611111111
2,9,91.99302777777778
2,10,93.62333333333333
2,11,94.95844444444442
2,12,95.21675
2,13,95.52938888888889
2,14,92.79655555555554
2,15,89.51269444444443
2,16,85.47155555555555
2,17,83.34772222222223
2,18,77.94952777777779
2,19,77.00327777777778
2,20,76.34794444444445
2,21,75.12955555555556
2,22,73.55827777777777
2,23,72.3963888888889
3,0,71.7925357142857
3,1,70.03576666666666
3,2,68.74273333333335
3,3,69.9682
3,4,69.40393333333333
3,5,69.00626666666668
3,6,70.8255
3,7,75.67886666666666
3,8,82.5931
3,9,87.5139
3,10,88.16556666666668
3,11,90.13353333333333
3,12,91.46543333333334
3,13,91.4295
3,14,88.85646666666666
3,15,87.21579999999999
3,16,84.75416666666668
3,17,81.90433333333333
3,18,76.1955
3,19,76.72726666666667
3,20,76.53486666666666
3,21,75.32456666666667
3,22,74.50723333333333
3,23,72.65116666666667
4,0,72.09811111111111
4,1,69.62861111111111
4,2,68.80941666666666
4,3,68.20502777777777
4,4,68.52063888888888
4,5,69.42505555555556
4,6,70.57002777777778
4,7,74.41202777777778
4,8,77.37030555555556
4,9,79.37238888888889
4,10,81.49252777777778
4,11,83.57438888888889
4,12,83.43152777777777
4,13,81.1555
4,14,80.69241666666666
4,15,78.93175
4,16,78.54674999999999
4,17,77.09372222222221
4,18,72.70241666666666
4,19,73.24819444444445
4,20,71.9075
4,21,70.87983333333334
4,22,70.86858333333333
4,23,68.13066666666667
5,0,67.98536111111112
5,1,67.31816666666667
5,2,67.94621327683616
5,3,66.29855555555555
5,4,66.88838888888888
5,5,65.99994444444445
5,6,64.92641666666667
5,7,65.61394444444444
5,8,66.78430555555555
5,9,67.04063888888889
5,10,66.06388888888888
5,11,67.06866666666666
5,12,64.5468286252354
5,13,66.60125
5,14,69.74961111111111
5,15,69.24061111111111
5,16,68.03969444444445
5,17,68.97994444444444
5,18,67.7475
5,19,69.17695197740113
5,20,68.32872222222223
5,21,69.08469444444444
5,22,69.17261111111111
5,23,68.94622222222222
6,0,66.5693888888889
6,1,65.79405555555556
6,2,67.38977777777778
6,3,67.23036666666667
6,4,64.94833333333334
6,5,64.7073
6,6,63.002733333333325
6,7,63.3966
6,8,64.03306666666667
6,9,64.3172
6,10,64.89823333333334
6,11,67.25223333333334
6,12,66.44963333333334
6,13,66.9318
6,14,69.81269999999999
6,15,68.13763333333334
6,16,68.30616666666667
6,17,67.44539999999999
6,18,69.24656666666667
6,19,67.85842146892655
6,20,67.69576666666667
6,21,67.3733
6,22,65.28693333333334
6,23,65.3433
