weekday,hour,load
0,0,68.09288888888888
0,1,68.68133333333334
0,2,67.93472222222222
0,3,66.56949999999999
0,4,67.94694444444444
0,5,69.47777777777777
0,6,69.92022222222222
0,7,74.60644444444445
0,8,83.97038888888888
0,9,85.20816666666666
0,10,85.73305555555555
0,11,85.3733888888889
0,12,88.25266666666666
0,13,85.10822222222222
0,14,83.98411111111112
0,15,86.25216666666667
0,16,87.40249999999999
0,17,85.71694444444445
0,18,78.46377777777776
0,19,79.65777777777778
0,20,76.89688888888888
0,21,76.25
0,22,76.01088888888889
0,23,75.35027777777778
1,0,72.2871
1,1,71.59066666666666
1,2,69.97973333333333
1,3,69.83619999999999
1,4,68.54453333333333
1,5,69.52633333333333
1,6,73.5337
1,7,78.92383333333333
1,8,83.8136
1,9,85.76246666666667
1,10,86.03020000000001
1,11,84.3886
1,12,87.41726666666666
1,13,88.7059
1,14,89.1602
1,15,90.52913333333333
1,16,88.10593333333334
1,17,84.53816666666667
1,18,78.4913
1,19,77.64439999999999
1,20,76.6557
1,21,75.80216666666666
1,22,74.465
1,23,73.82616666666667
2,0,71.62391666666666
2,1,72.14866666666667
2,2,71.8333611111111
2,3,70.17516666666667
2,4,70.04738888888889
2,5,71.80055555555556
2,6,72.04036111111111
2,7,80.86816666666667
2,8,90.99502777777776
2,9,95.84358333333334
2,10,97.56805555555555
2,11,99.08705555555555
2,12,99.52313888888888
2,13,99.92077777777779
2,14,97.27988888888889
2,15,94.1246388888889
2,16,90.09933333333333
2,17,87.9655
2,18,81.69147222222223
2,19,80.60466666666666
2,20,79.82238888888888
2,21,78.52094444444445
2,22,76.87411111111112
2,23,75.4186111111111
3,0,74.55698015873016
3,1,72.62576666666666
3,2,71.15073333333333
3,3,72.34753333333333
3,4,71.76093333333333
3,5,71.38393333333333
3,6,74.40016666666666
3,7,79.46286666666667
3,8,86.40776666666667
3,9,91.25523333333334
3,10,91.8409
3,11,94.07820000000001
3,12,95.56743333333334
3,13,95.70383333333334
3,14,93.36980000000001
3,15,91.9328
3,16,89.5565
3,17,86.71933333333332
3,18,80.01383333333334
3,19,80.43493333333333
3,20,80.10586666666666
3,21,78.72223333333334
3,22,77.67556666666667
3,23,75.73016666666668
4,0,74.81783333333333
4,1,72.06972222222221
4,2,71.1763611111111
4,3,70.55558333333333
4,4,70.77508333333333
4,5,71.69922222222222
4,6,73.76780555555555
4,7,77.73730555555555
4,8,81.01586111111111
4,9,83.016
4,10,85.13252777777778
4,11,87.26605555555555
4,12,87.38875
4,13,85.23355555555555
4,14,84.80547222222222
4,15,82.98174999999999
4,16,82.63202777777778
4,17,81.18511111111111
4,18,76.12630555555556
4,19,76.55930555555555
4,20,75.2625
4,21,74.06538888888889
4,22,73.89219444444444
4,23,71.0753888888889
5,0,70.73341666666667
5,1,69.81705555555556
5,2,70.29202777777778
5,3,68.5505
5,4,68.98311111111111
5,5,68.11966666666666
5,6,67.07141666666666
5,7,67.90866666666666
5,8,69.24875
5,9,69.50536111111111
5,10,68.3561111111111
5,11,69.38616666666667
5,12,67.10488888888888
5,13,69.28625
5,14,72.71933333333334
5,15,72.26477777777778
5,16,71.16080555555556
5,17,72.17411111111112
5,18,70.97722222222222
5,19,72.46761111111111
5,20,71.63622222222222
5,21,72.3241388888889
5,22,72.18955555555556
5,23,71.85455555555556
6,0,69.31244444444444
6,1,68.36072222222222
6,2,69.8335404040404
6,3,69.5817
6,4,67.35799999999999
6,5,67.0643
6,6,65.27239999999999
6,7,65.69093333333333
6,8,66.41973333333334
6,9,66.72686666666667
6,10,67.3019
6,11,69.70756666666668
6,12,68.90863333333333
6,13,69.48013333333333
6,14,72.33636666666666
6,15,70.83896666666666
6,16,71.13616666666667
6,17,70.3894
6,18,72.29523333333334
6,19,70.9868
6,20,70.70443333333334
6,21,70.1703
6,22,68.0136
6,23,67.9953
